192.168.1.1 - - [16/Sep/2025:09:15:52 +0000] "GET /index.html HTTP/1.1" 200 1024 "http://example.com/start.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.8 - - [16/Sep/2025:16:30:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.9 - - [16/Sep/2025:16:31:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:16:32:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.10 - - [16/Sep/2025:16:33:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.9 - - [16/Sep/2025:16:34:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.11 - - [16/Sep/2025:16:35:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.25 - - [16/Sep/2025:16:36:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.12 - - [16/Sep/2025:16:37:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.10 - - [16/Sep/2025:16:38:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.13 - - [16/Sep/2025:16:39:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:16:40:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.14 - - [16/Sep/2025:16:41:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.11 - - [16/Sep/2025:16:42:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.15 - - [16/Sep/2025:16:43:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.26 - - [16/Sep/2025:16:44:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.16 - - [16/Sep/2025:16:45:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.12 - - [16/Sep/2025:16:46:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.17 - - [16/Sep/2025:16:47:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:16:48:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.18 - - [16/Sep/2025:16:49:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.13 - - [16/Sep/2025:16:50:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.19 - - [16/Sep/2025:16:51:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.27 - - [16/Sep/2025:16:52:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.20 - - [16/Sep/2025:16:53:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.14 - - [16/Sep/2025:16:54:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.21 - - [16/Sep/2025:16:55:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:16:56:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.22 - - [16/Sep/2025:16:57:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.15 - - [16/Sep/2025:16:58:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.23 - - [16/Sep/2025:16:59:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.28 - - [16/Sep/2025:17:00:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.24 - - [16/Sep/2025:17:01:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.16 - - [16/Sep/2025:17:02:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.25 - - [16/Sep/2025:17:03:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:17:04:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.26 - - [16/Sep/2025:17:05:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.17 - - [16/Sep/2025:17:06:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.27 - - [16/Sep/2025:17:07:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.29 - - [16/Sep/2025:17:08:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.28 - - [16/Sep/2025:17:09:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.18 - - [16/Sep/2025:17:10:35 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.29 - - [16/Sep/2025:17:11:20 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:17:12:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.30 - - [16/Sep/2025:17:13:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
